,client-address,client-guid,request-time,service-guid,retries-request,packets-requested,packets-serviced,max-hole-size
601,229.8.97.235,24113397-eb06-4020-bf79-22f576fea3e2,1467116867.0,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,6,16,11,7
658,79.200.199.206,a3ecf55a-6220-428c-8db9-8079d7ebd878,1467116893.0,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,2,13,12,19
749,89.213.140.79,3039974d-855d-4bdc-9537-7b4f2730f97f,1467117010.0,2536e29e-3570-4d53-be7c-b9d059c632a7,6,6,10,4
257,154.145.218.119,6cb04894-fa35-41f1-ad53-84d74b549dd5,1467117057.0,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,8,12,1,7
531,136.86.149.164,5eed724f-e8fc-45e7-9fa0-3860d0b13943,1467117232.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,6,0,15,15
650,195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,1467117280.0,8232ac92-6020-4101-88c0-74d51ea1542b,5,16,14,13
421,88.133.216.130,e82f7767-ff00-41bb-abef-70e12318e510,1467117435.0,caaca31e-bee2-4ed3-8e72-5dab24079744,7,18,14,18
812,166.160.242.208,15d7c9ed-bc30-4f87-9452-1e8c3c7fbe0b,1467117510.0,d224de85-cd41-4f03-bff6-de9815877975,6,12,4,11
728,33.74.31.254,b81e57b0-4606-4a6a-848d-2e2d9f77cf72,1467117546.0,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,7,16,15,10
462,206.41.141.227,4b8091f9-747c-4964-a53e-a47a021a04eb,1467117599.0,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,5,9,12,7
187,192.226.195.176,245b4dfd-9a3b-4656-8ebd-d893a974ad9c,1467117614.0,8105e514-c0d5-40ba-8c7a-90bf998ba9e4,2,12,15,7
222,241.205.83.197,e0669fc1-d623-45e0-b816-191d9da79985,1467117648.0,d15e4790-67f7-4488-a28d-32ced8673c58,7,14,14,8
881,254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,1467117680.0,98279a79-c822-45b4-8429-45ce97a336e5,5,12,17,12
874,48.240.206.11,255b90f8-e6e7-4be3-88de-0e1c35413af5,1467117945.0,35501e3f-e06c-4cb5-9062-e8611a591cab,6,15,14,7
275,133.162.159.139,8796189b-bda4-4096-8ef6-0eb461443b40,1467118124.0,6c7444d3-9bca-46d7-a8c6-96939981ae01,7,14,16,13
392,244.225.8.162,ca7050d8-e536-4d72-84fc-b1d6d7ac72d9,1467118127.0,4ab70dbe-f5e7-4688-aa5c-2ae75faf6c03,8,10,3,6
398,81.231.11.150,37b28482-db5f-4e2d-a35c-1aa650137d7c,1467118210.0,0ee908d7-d767-4da5-9cbe-fc78e9c6a192,9,9,10,13
535,200.47.19.120,14946fd5-489e-4865-8e6a-e0cb15b7d197,1467118337.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,3,4,12,16
337,91.254.170.48,70e496c2-e9a0-45b5-8ee7-f34849b9026a,1467118382.0,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,5,7,15,9
267,9.201.96.188,820f8e8e-4710-4560-af46-81133624eea1,1467118398.0,8105e514-c0d5-40ba-8c7a-90bf998ba9e4,6,12,10,11
321,208.180.58.114,257a4a2c-5f15-4462-83dd-44cbedafae21,1467118419.0,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,6,17,12,17
345,128.84.243.131,ce055c42-e25c-4f78-894f-6d75bd28f16f,1467118454.0,5d35c640-9cf3-43ec-ae1a-5feebed26a37,5,9,17,13
665,75.175.93.93,074d853b-eba6-472b-b588-adcc0ad69402,1467118473.0,98279a79-c822-45b4-8429-45ce97a336e5,7,11,6,7
89,184.20.205.139,c2fb747e-7020-49fd-b12e-96bd0842384e,1467118504.0,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,7,11,18,13
296,176.219.10.154,23e89ddc-c8ee-475d-b80f-3c4e1c0f0fbc,1467118552.0,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,8,11,10,10
415,138.72.13.187,089f4e70-10c5-4de2-9d2b-1c66246e8820,1467118567.0,bed314cb-4c59-41ee-9c23-3155a80e2bc3,2,8,15,12
395,91.254.170.48,70e496c2-e9a0-45b5-8ee7-f34849b9026a,1467118602.0,60b84364-645b-444c-90ed-879d893f7920,8,5,16,8
572,253.14.16.17,ad4139d3-41b5-4569-8cde-3d54f96a38a3,1467119011.0,e49b6654-fca2-47b2-b816-4bb7e09c6fa3,7,10,15,9
119,122.229.58.131,088f93cb-f0a8-41ea-acf8-7a29f029ed78,1467119307.0,d70c87de-7837-450c-9965-17c9f366d183,8,10,2,14
505,38.29.201.73,99a4fea8-b7f4-4311-aabb-d75839ffeb9b,1467119421.0,0ee908d7-d767-4da5-9cbe-fc78e9c6a192,7,4,1,4
172,133.162.159.139,8796189b-bda4-4096-8ef6-0eb461443b40,1467119518.0,d15e4790-67f7-4488-a28d-32ced8673c58,6,11,13,3
624,94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,1467119568.0,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,4,9,6,13
192,83.152.115.149,f2842355-374f-43d0-b5ec-c55566bd3d23,1467119618.0,a944a262-6fdb-4f7f-a510-d123ed9618e6,5,10,6,18
325,158.72.216.85,c025f3b3-9d38-43cf-96b3-765c8d09376f,1467119687.0,601152f5-477a-4ff3-afdb-8bf315341254,6,14,8,15
270,214.186.31.66,eb759952-2413-486f-8c49-2de88b29578d,1467119781.0,a944a262-6fdb-4f7f-a510-d123ed9618e6,5,8,6,16
196,184.20.205.139,c2fb747e-7020-49fd-b12e-96bd0842384e,1467119807.0,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,1,7,6,3
30,124.253.117.135,7b5b34c5-2d3a-46c8-b462-58ee432c8f0f,1467119823.0,a944a262-6fdb-4f7f-a510-d123ed9618e6,5,12,12,8
844,24.197.69.7,67d5e3dd-f39a-401b-957b-88acb474f65a,1467120290.0,db7b9cde-0a4b-459a-a301-88a447410499,4,8,7,7
60,154.145.218.119,6cb04894-fa35-41f1-ad53-84d74b549dd5,1467120359.0,d15e4790-67f7-4488-a28d-32ced8673c58,3,11,6,2
138,253.235.133.129,ab0020e1-ae71-4c1f-aa9c-777ab029f884,1467120368.0,a6c5d611-45be-43bf-a027-c1e98a89c8f6,5,7,5,12
404,63.153.117.246,b6dffb35-7467-40df-8212-61a36b4376ea,1467120390.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,6,13,2,16
529,39.49.44.234,f917c098-6c46-4d68-bcac-840009db8f9d,1467120419.0,7d619a45-2b4d-4a54-9e85-6913c9545e34,1,17,16,9
835,100.244.243.255,0ab47f58-2c17-4b8d-9bd1-20ca3b924877,1467120506.0,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,3,8,17,12
450,156.151.161.28,a82b1820-8498-41e9-88e6-9a03c37f7e57,1467120526.0,4a949998-0e79-4ec1-9894-11360712fc45,8,16,13,11
142,223.145.155.158,779846ad-de04-431b-8942-ae835fa1a215,1467120541.0,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,3,14,10,14
262,11.105.108.47,b9ed339c-b853-4883-a8f7-423738219768,1467120645.0,ef48c441-4a26-4f90-97cf-cc3d0665b814,4,8,7,14
367,210.21.80.97,3214ae5c-d832-4661-a29e-37348183ad1b,1467120770.0,5d35c640-9cf3-43ec-ae1a-5feebed26a37,3,14,11,8
184,251.30.9.146,70c5473c-adcc-422d-8724-dc6b53c68c5a,1467120877.0,a5adb83b-0380-4618-aef6-7179e39eff26,6,13,9,12
777,75.175.93.93,074d853b-eba6-472b-b588-adcc0ad69402,1467120880.0,3cc76b74-7d16-4651-9699-34332a56f6e7,1,13,13,16
843,145.157.137.136,7acbeb5f-ce5f-4805-b24b-6ba979dbd383,1467121055.0,0342f6df-6e8c-48c3-8390-667eb678638b,5,9,14,1
240,236.178.72.78,61e9bb2c-b5dc-44f6-9f7f-2cc615af7796,1467121103.0,1d0a29e3-b3b0-4f0d-a684-a0f025955a4d,8,8,13,12
508,207.77.90.74,b84befd4-1024-4c4e-8fcd-55d29fc49373,1467121135.0,601152f5-477a-4ff3-afdb-8bf315341254,4,8,18,7
387,63.238.70.233,548fdcfe-1f63-49c8-b764-e5fd4010d4f6,1467121151.0,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,6,12,14,16
549,44.122.139.20,279e0c25-3f89-4c74-8d36-dfcb99c64a0f,1467121210.0,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,7,12,16
547,244.225.8.162,ca7050d8-e536-4d72-84fc-b1d6d7ac72d9,1467121274.0,caaca31e-bee2-4ed3-8e72-5dab24079744,6,13,15,15
374,106.122.7.55,8f2a0995-20d7-42ee-96ca-174140b63b27,1467121342.0,4a949998-0e79-4ec1-9894-11360712fc45,7,11,16,6
564,53.192.52.176,f4394d85-6c7d-4294-aa7e-30ae656cc901,1467121463.0,586b3947-c63c-4054-a437-d3f8a6836bcf,6,8,17,11
